76,100,92,54,71,69,46,0,2016,vote
76,57,67,85,100,96,99,0,2016,vote
43,60,52,100,73,80,47,0,2016,vote
100,67,0,61,42,33,84,1,2016,vote
0,47,100,55,56,46,50,1,2016,vote
44,42,65,49,100,42,81,1,2016,vote
61,42,77,100,79,44,91,2,2016,vote
100,79,75,94,90,65,93,2,2016,vote
100,48,80,81,87,86,85,2,2016,vote
61,81,100,70,82,80,40,3,2016,vote
42,57,60,100,65,49,66,3,2016,vote
32,47,100,43,62,90,91,3,2016,vote
98,92,100,97,97,96,89,4,2016,vote
67,74,73,76,83,65,100,4,2016,vote
99,100,100,96,91,87,74,4,2016,vote
99,79,61,100,60,43,89,5,2016,vote
100,58,81,94,67,39,65,5,2016,vote
88,100,64,85,63,47,60,5,2016,vote
62,47,27,49,100,40,27,6,2016,vote
49,96,92,82,100,39,79,6,2016,vote
84,75,81,100,92,94,94,6,2016,vote
100,33,51,40,78,0,0,7,2016,vote
39,100,28,49,30,25,54,7,2016,vote
32,32,51,82,0,31,100,7,2016,vote
69,59,61,100,57,57,51,8,2016,vote
39,45,47,63,36,53,100,8,2016,vote
85,55,100,57,72,70,38,8,2016,vote
74,100,78,97,86,65,90,9,2016,vote
62,78,78,53,70,61,100,9,2016,vote
81,100,88,89,79,71,76,9,2016,vote
88,100,96,96,92,91,80,10,2016,vote
60,60,52,61,73,63,100,10,2016,vote
90,100,69,80,84,87,63,10,2016,vote
100,19,20,33,45,60,19,11,2016,vote
37,61,74,70,70,100,79,11,2016,vote
100,54,46,42,41,72,93,11,2016,vote
36,50,86,54,26,40,100,12,2016,vote
100,67,70,41,54,66,47,12,2016,vote
26,61,28,66,32,39,100,12,2016,vote
99,99,100,79,72,98,91,13,2016,vote
100,86,91,81,99,85,95,13,2016,vote
66,68,62,100,70,82,62,13,2016,vote
71,100,73,66,79,61,49,14,2016,vote
66,74,88,66,100,51,61,14,2016,vote
89,100,72,94,82,72,97,14,2016,vote
76,99,52,34,95,100,62,15,2016,vote
65,38,81,65,85,100,76,15,2016,vote
48,55,100,99,95,85,54,15,2016,vote
56,100,66,73,62,73,78,16,2016,vote
100,39,21,48,72,67,59,16,2016,vote
76,64,72,70,100,72,43,16,2016,vote
100,57,49,74,64,62,43,17,2016,vote
67,45,47,100,53,45,73,17,2016,vote
98,61,37,74,100,71,30,17,2016,vote
65,38,58,100,40,80,48,18,2016,vote
42,62,82,64,100,52,90,18,2016,vote
69,60,88,39,100,66,59,18,2016,vote
65,100,62,87,64,90,61,19,2016,vote
24,24,36,72,100,74,61,19,2016,vote
42,80,65,0,49,82,100,19,2016,vote
89,96,100,58,45,90,49,20,2016,vote
46,59,59,100,49,44,78,20,2016,vote
55,58,67,100,72,55,30,20,2016,vote
94,65,81,82,57,100,61,21,2016,vote
69,79,86,42,90,86,100,21,2016,vote
85,77,74,94,90,100,85,21,2016,vote
68,78,100,81,93,87,91,22,2016,vote
72,89,74,100,65,77,100,22,2016,vote
95,100,94,89,91,79,81,22,2016,vote
67,77,89,72,65,84,100,23,2016,vote
69,60,37,40,62,100,79,23,2016,vote
70,100,96,95,74,82,53,23,2016,vote
100,50,53,55,51,36,50,24,2016,vote
80,96,71,85,100,77,41,24,2016,vote
46,52,63,100,55,51,42,24,2016,vote
100,60,79,99,71,50,54,25,2016,vote
63,65,59,77,70,51,100,25,2016,vote
87,80,52,100,68,41,54,25,2016,vote
42,89,92,54,51,42,100,26,2016,vote
37,0,100,48,68,37,40,26,2016,vote
62,0,46,80,100,81,60,26,2016,vote
96,32,87,63,100,74,72,27,2016,vote
100,59,91,52,77,87,75,27,2016,vote
43,100,28,80,71,76,49,27,2016,vote
75,54,82,95,100,98,54,28,2016,vote
47,57,61,64,53,37,100,28,2016,vote
71,90,94,87,97,100,75,28,2016,vote
84,82,84,49,46,41,100,29,2016,vote
29,100,29,51,96,44,87,29,2016,vote
90,56,52,53,33,100,47,29,2016,vote
71,66,61,77,84,88,100,30,2016,vote
53,86,84,98,100,68,89,30,2016,vote
48,72,56,100,73,53,55,30,2016,vote
58,68,80,83,56,56,100,31,2016,vote
62,31,33,75,73,46,100,31,2016,vote
98,87,100,69,55,85,49,31,2016,vote
98,95,86,100,95,91,80,32,2016,vote
86,100,97,91,95,95,84,32,2016,vote
80,64,67,100,65,70,77,32,2016,vote
55,48,71,84,100,80,80,33,2016,vote
93,72,91,100,69,83,96,33,2016,vote
76,100,90,82,90,80,67,33,2016,vote
41,46,47,56,49,0,100,34,2016,vote
61,64,100,38,0,0,32,34,2016,vote
62,0,100,0,78,91,58,34,2016,vote
100,48,55,78,69,63,68,35,2016,vote
46,78,100,74,88,59,78,35,2016,vote
51,82,73,70,100,75,50,35,2016,vote
65,49,72,75,100,85,26,36,2016,vote
63,71,81,48,71,70,100,36,2016,vote
57,35,74,100,98,75,68,36,2016,vote
83,55,60,100,85,31,55,37,2016,vote
63,55,71,100,79,63,79,37,2016,vote
86,72,36,100,53,54,69,37,2016,vote
100,82,86,93,52,65,77,38,2016,vote
56,82,90,100,56,69,73,38,2016,vote
85,81,100,99,83,65,73,38,2016,vote
0,55,42,0,100,69,27,39,2016,vote
37,100,61,38,53,68,60,39,2016,vote
37,27,39,55,100,71,27,39,2016,vote
34,59,80,45,75,100,59,40,2016,vote
90,70,100,70,95,64,70,40,2016,vote
90,88,30,61,100,71,46,40,2016,vote
77,0,0,73,67,52,100,41,2016,vote
50,96,80,0,83,48,100,41,2016,vote
93,90,100,0,0,90,85,41,2016,vote
66,94,59,100,74,61,90,42,2016,vote
63,36,79,55,76,79,100,42,2016,vote
58,82,100,66,53,66,51,42,2016,vote
75,77,88,100,77,69,69,43,2016,vote
63,59,50,62,64,62,100,43,2016,vote
96,100,87,89,90,73,87,43,2016,vote
74,100,80,96,35,45,76,44,2016,vote
43,49,25,52,100,81,50,44,2016,vote
50,78,79,54,100,77,61,44,2016,vote
56,100,34,0,0,33,33,45,2016,vote
48,50,51,61,58,100,75,45,2016,vote
77,74,0,100,93,75,73,45,2016,vote
59,63,60,62,100,63,65,46,2016,vote
