0,100,0,0,0,0,0,0
0,100,0,0,0,0,0,0
0,56,0,0,0,77,100,0
99,0,0,0,0,0,100,1
0,100,0,70,0,0,51,1
0,0,100,0,0,0,87,1
36,100,39,39,0,25,24,2
45,30,32,48,100,76,92,2
22,26,35,30,31,57,100,2
0,0,0,0,0,100,0,3
100,49,0,0,0,0,0,3
37,0,44,66,0,53,100,3
43,61,55,77,41,78,100,4
51,66,69,100,44,83,96,4
13,28,15,20,17,45,100,4
100,34,55,53,54,69,0,5
0,55,44,100,71,84,82,5
26,18,26,43,34,21,100,5
0,68,71,0,100,66,66,6
62,64,71,0,0,0,100,6
0,45,24,35,51,57,100,6
85,88,100,0,0,81,78,7
0,100,99,0,0,0,95,7
50,0,55,0,0,100,78,7
48,55,66,40,38,46,100,8
77,52,83,45,72,100,60,8
17,25,37,20,21,59,100,8
62,44,41,37,65,100,66,9
72,51,65,66,33,100,78,9
19,16,17,18,13,42,100,9
25,50,27,44,0,25,100,10
71,51,47,81,99,100,79,10
28,19,21,18,29,40,100,10
100,0,0,0,0,0,98,11
94,92,0,0,0,100,0,11
32,28,29,0,0,31,100,11
0,100,99,0,0,0,0,12
100,55,59,0,0,0,49,12
54,59,0,0,0,78,100,12
74,42,100,84,40,100,74,13
78,63,60,70,55,100,99,13
22,25,16,13,10,42,100,13
50,0,58,0,0,100,48,14
40,25,0,100,49,27,53,14
40,0,0,36,0,37,100,14
0,0,0,0,0,53,100,15
43,47,100,0,95,43,45,15
0,0,60,55,53,54,100,15
84,88,100,0,0,89,85,16
85,42,100,0,74,0,0,16
95,37,38,54,55,70,100,16
47,100,53,0,70,46,47,17
49,95,100,0,73,98,92,17
17,16,25,0,0,32,100,17
0,88,100,0,0,0,0,18
61,59,65,100,0,0,63,18
27,95,52,0,0,71,100,18
100,0,0,0,0,97,0,19
0,0,0,0,0,96,100,19
75,48,96,0,0,61,100,19
68,53,38,91,94,54,100,20
28,86,46,0,91,70,100,20
10,26,17,17,29,77,100,20
63,0,89,70,66,100,81,21
66,0,36,48,96,65,100,21
25,24,25,13,31,48,100,21
100,75,41,60,55,37,37,22
96,49,52,0,74,100,97,22
9,17,22,0,13,42,100,22
27,45,0,0,100,54,78,23
28,28,59,0,100,46,54,23
32,25,26,43,0,61,100,23
91,0,0,0,0,100,96,24
0,100,0,0,0,0,74,24
0,67,0,0,0,58,100,24
56,57,61,100,48,84,65,25
53,100,58,71,98,40,66,25
19,29,23,23,0,34,100,25
0,0,0,0,0,0,0,26
61,58,0,100,0,60,0,26
0,0,0,0,0,0,100,26
60,64,0,100,98,60,60,27
93,90,100,0,0,0,92,27
40,39,0,67,62,36,100,27
0,95,100,0,0,0,0,28
68,0,80,100,0,0,68,28
70,32,32,0,42,56,100,28
67,0,70,100,0,0,0,29
0,67,75,0,0,100,68,29
0,39,89,0,59,39,100,29
48,99,100,0,0,71,79,30
85,49,78,0,52,81,100,30
17,15,20,28,12,43,100,30
0,0,100,0,0,0,0,31
56,56,0,100,0,78,0,31
0,62,0,100,0,92,60,31
35,88,74,99,65,100,91,32
73,100,75,30,83,54,60,32
16,15,17,9,12,45,100,32
41,56,58,35,72,100,79,33
63,72,28,57,29,100,90,33
19,15,18,9,15,49,100,33
0,0,0,0,0,0,0,34
0,0,100,0,0,0,82,34
0,0,85,0,0,0,100,34
83,65,100,46,56,59,85,35
77,73,57,36,49,79,100,35
14,13,13,9,7,48,100,35
0,0,0,0,0,100,0,36
45,47,100,0,0,46,44,36
0,77,32,48,45,28,100,36
32,33,51,100,50,65,48,37
44,46,0,69,66,89,100,37
26,20,12,17,34,51,100,37
59,100,95,68,97,67,86,38
49,100,44,30,60,60,60,38
13,15,7,10,18,38,100,38
100,0,0,73,0,50,0,39
0,0,100,0,0,86,93,39
0,65,38,0,0,34,100,39
0,43,100,0,0,42,0,40
100,0,0,83,86,52,68,40
48,34,74,59,83,86,100,40
0,0,0,0,0,0,0,41
0,0,0,0,0,100,0,41
0,0,70,0,100,0,61,41
83,82,59,100,0,54,53,42
57,57,0,0,100,58,0,42
71,30,22,32,34,54,100,42
82,69,65,84,42,76,100,43
50,63,74,59,100,46,69,43
19,18,31,12,9,51,100,43
97,100,0,0,0,0,94,44
57,92,0,100,0,61,0,44
39,0,48,0,82,35,100,44
0,0,0,0,0,0,100,45
0,0,0,0,0,0,0,45
71,63,100,100,0,64,85,45
100,66,89,88,55,96,49,46
81,85,87,69,63,91,100,46
9,21,24,17,15,53,100,46
33,50,35,0,100,34,65,47
49,33,35,73,49,51,100,47
11,18,26,20,18,43,100,47
0,0,0,0,0,100,0,48
0,0,0,0,0,100,0,48
0,0,46,81,0,40,100,48
34,53,37,54,55,50,100,49
26,54,60,65,0,53,100,49
21,21,0,20,20,57,100,49
0,100,0,0,0,0,93,50
0,0,0,0,0,100,0,50
0,0,0,0,100,0,0,50
