76,100,92,54,71,69,46,0
76,57,67,85,100,96,99,0
43,60,52,100,73,80,47,0
100,67,0,61,42,33,84,1
0,47,100,55,56,46,50,1
44,42,65,49,100,42,81,1
61,42,77,100,79,44,91,2
100,79,75,94,90,65,93,2
100,48,80,81,87,86,85,2
61,81,100,70,82,80,40,3
42,57,60,100,65,49,66,3
32,47,100,43,62,90,91,3
98,92,100,97,97,96,89,4
67,74,73,76,83,65,100,4
99,100,100,96,91,87,74,4
99,79,61,100,60,43,89,5
100,58,81,94,67,39,65,5
88,100,64,85,63,47,60,5
62,47,27,49,100,40,27,6
49,96,92,82,100,39,79,6
84,75,81,100,92,94,94,6
100,33,51,40,78,0,0,7
39,100,28,49,30,25,54,7
32,32,51,82,0,31,100,7
69,59,61,100,57,57,51,8
39,45,47,63,36,53,100,8
85,55,100,57,72,70,38,8
74,100,78,97,86,65,90,9
62,78,78,53,70,61,100,9
81,100,88,89,79,71,76,9
88,100,96,96,92,91,80,10
60,60,52,61,73,63,100,10
90,100,69,80,84,87,63,10
100,19,20,33,45,60,19,11
37,61,74,70,70,100,79,11
100,54,46,42,41,72,93,11
36,50,86,54,26,40,100,12
100,67,70,41,54,66,47,12
26,61,28,66,32,39,100,12
99,99,100,79,72,98,91,13
100,86,91,81,99,85,95,13
66,68,62,100,70,82,62,13
71,100,73,66,79,61,49,14
66,74,88,66,100,51,61,14
89,100,72,94,82,72,97,14
76,99,52,34,95,100,62,15
65,38,81,65,85,100,76,15
48,55,100,99,95,85,54,15
56,100,66,73,62,73,78,16
100,39,21,48,72,67,59,16
76,64,72,70,100,72,43,16
100,57,49,74,64,62,43,17
67,45,47,100,53,45,73,17
98,61,37,74,100,71,30,17
65,38,58,100,40,80,48,18
42,62,82,64,100,52,90,18
69,60,88,39,100,66,59,18
65,100,62,87,64,90,61,19
24,24,36,72,100,74,61,19
42,80,65,0,49,82,100,19
89,96,100,58,45,90,49,20
46,59,59,100,49,44,78,20
55,58,67,100,72,55,30,20
94,65,81,82,57,100,61,21
69,79,86,42,90,86,100,21
85,77,74,94,90,100,85,21
68,78,100,81,93,87,91,22
72,89,74,100,65,77,100,22
95,100,94,89,91,79,81,22
67,77,89,72,65,84,100,23
69,60,37,40,62,100,79,23
70,100,96,95,74,82,53,23
100,50,53,55,51,36,50,24
80,96,71,85,100,77,41,24
46,52,63,100,55,51,42,24
100,60,79,99,71,50,54,25
63,65,59,77,70,51,100,25
87,80,52,100,68,41,54,25
42,89,92,54,51,42,100,26
37,0,100,48,68,37,40,26
62,0,46,80,100,81,60,26
96,32,87,63,100,74,72,27
100,59,91,52,77,87,75,27
43,100,28,80,71,76,49,27
75,54,82,95,100,98,54,28
47,57,61,64,53,37,100,28
71,90,94,87,97,100,75,28
84,82,84,49,46,41,100,29
29,100,29,51,96,44,87,29
90,56,52,53,33,100,47,29
71,66,61,77,84,88,100,30
53,86,84,98,100,68,89,30
48,72,56,100,73,53,55,30
58,68,80,83,56,56,100,31
62,31,33,75,73,46,100,31
98,87,100,69,55,85,49,31
98,95,86,100,95,91,80,32
86,100,97,91,95,95,84,32
80,64,67,100,65,70,77,32
55,48,71,84,100,80,80,33
93,72,91,100,69,83,96,33
76,100,90,82,90,80,67,33
41,46,47,56,49,0,100,34
61,64,100,38,0,0,32,34
62,0,100,0,78,91,58,34
100,48,55,78,69,63,68,35
46,78,100,74,88,59,78,35
51,82,73,70,100,75,50,35
65,49,72,75,100,85,26,36
63,71,81,48,71,70,100,36
57,35,74,100,98,75,68,36
83,55,60,100,85,31,55,37
63,55,71,100,79,63,79,37
86,72,36,100,53,54,69,37
100,82,86,93,52,65,77,38
56,82,90,100,56,69,73,38
85,81,100,99,83,65,73,38
0,55,42,0,100,69,27,39
37,100,61,38,53,68,60,39
37,27,39,55,100,71,27,39
34,59,80,45,75,100,59,40
90,70,100,70,95,64,70,40
90,88,30,61,100,71,46,40
77,0,0,73,67,52,100,41
50,96,80,0,83,48,100,41
93,90,100,0,0,90,85,41
66,94,59,100,74,61,90,42
63,36,79,55,76,79,100,42
58,82,100,66,53,66,51,42
75,77,88,100,77,69,69,43
63,59,50,62,64,62,100,43
96,100,87,89,90,73,87,43
74,100,80,96,35,45,76,44
43,49,25,52,100,81,50,44
50,78,79,54,100,77,61,44
56,100,34,0,0,33,33,45
48,50,51,61,58,100,75,45
77,74,0,100,93,75,73,45
59,63,60,62,100,63,65,46
90,80,75,70,81,65,100,46
83,65,86,85,91,100,93,46
38,30,78,60,54,100,39,47
71,77,93,100,74,79,65,47
59,77,91,100,68,74,83,47
84,45,51,54,100,49,35,48
47,46,100,87,0,94,47,48
100,64,41,75,67,39,82,48
56,100,93,47,50,70,75,49
91,79,74,100,68,87,95,49
100,78,52,83,35,38,43,49
49,0,0,100,58,93,45,50
80,0,58,68,61,100,0,50
100,0,0,63,0,47,45,50
