39,0,38,39,30,61,86,100,0
65,50,100,55,65,85,40,53,0
43,66,35,0,100,34,0,87,1
0,61,95,96,0,90,100,0,1
100,74,81,87,53,73,56,59,2
100,59,83,75,75,77,65,92,2
34,100,0,47,46,47,25,34,3
45,43,62,0,47,48,100,46,3
100,69,80,88,75,75,84,86,4
91,93,80,84,71,85,91,100,4
83,22,79,84,72,100,78,77,5
92,100,80,72,100,76,70,43,5
53,52,35,26,36,36,49,100,6
100,45,76,63,80,79,69,76,6
100,34,49,0,49,27,28,0,7
100,0,0,0,46,90,50,68,7
100,65,70,23,46,51,20,75,8
100,61,62,60,79,80,62,83,8
91,88,77,94,63,90,68,100,9
55,100,66,71,57,77,54,66,9
72,79,37,83,59,46,50,100,10
100,66,42,62,52,46,46,65,10
78,71,57,100,37,37,27,79,11
89,37,26,67,50,34,58,100,11
0,44,51,33,33,100,34,45,12
0,52,59,0,100,42,0,53,12
69,92,63,60,100,89,77,91,13
100,52,62,50,67,73,55,42,13
100,57,53,54,43,28,22,81,14
68,41,60,100,79,80,42,34,14
85,82,0,48,24,25,76,100,15
95,67,66,100,49,70,36,50,15
46,100,42,21,28,58,58,36,16
31,77,99,73,24,100,91,66,16
91,30,100,89,38,53,83,31,17
100,49,50,100,41,51,73,25,17
72,60,55,100,46,55,17,74,18
72,100,35,79,27,84,76,46,18
42,39,32,29,31,31,100,81,19
100,43,72,36,37,75,78,0,19
84,94,64,100,92,28,49,92,20
44,81,61,100,54,84,58,55,20
53,81,50,63,73,51,53,100,21
100,60,53,72,49,91,60,85,21
100,55,57,66,92,58,98,39,22
70,86,98,60,84,45,100,94,22
88,52,100,90,70,72,59,78,23
62,62,46,74,29,63,80,100,23
75,0,37,75,37,78,100,51,24
92,0,81,100,50,66,71,69,24
34,89,58,66,74,92,52,100,25
70,61,52,52,59,59,77,100,25
51,100,0,0,0,79,41,0,26
0,0,50,0,99,100,0,0,26
41,40,64,62,63,47,100,44,27
70,45,34,100,52,35,36,48,27
88,76,48,49,58,28,68,100,28
100,31,68,46,34,82,55,47,28
40,37,64,62,0,65,100,42,29
76,100,53,84,0,55,60,0,29
98,83,79,61,62,68,100,89,30
57,100,71,44,25,28,64,65,30
100,96,73,36,36,36,38,74,31
66,64,24,24,36,49,25,100,31
86,100,80,86,73,92,95,87,32
83,93,94,75,93,84,57,100,32
87,99,66,89,96,83,61,100,33
85,79,100,62,56,53,76,64,33
0,47,56,0,38,0,38,100,34
100,0,0,72,0,0,0,0,34
100,98,65,72,81,67,87,93,35
38,78,74,77,56,56,58,100,35
82,59,61,47,97,37,59,100,36
100,56,59,87,98,98,70,91,36
100,78,79,66,30,66,63,49,37
71,41,82,70,25,66,63,100,37
100,59,78,54,30,58,53,68,38
77,66,32,71,53,75,80,100,38
32,0,72,24,100,0,26,0,39
0,0,69,0,0,71,78,100,39
100,39,32,32,49,58,59,63,40
100,39,54,53,47,56,42,41,40
51,0,31,67,33,33,0,100,41
0,100,36,34,0,0,39,54,41
76,74,62,73,67,100,69,64,42
25,64,62,100,36,36,30,38,42
90,100,77,96,76,58,90,93,43
68,100,60,71,56,60,66,63,43
34,66,32,55,32,32,42,100,44
80,75,72,100,73,30,46,75,44
95,92,0,0,0,0,71,100,45
100,0,0,68,0,73,0,0,45
79,67,58,79,95,60,71,100,46
86,79,61,100,92,88,58,88,46
46,100,65,73,93,65,71,91,47
74,74,91,55,78,100,58,86,47
65,62,100,0,0,53,54,70,48
54,0,76,100,0,42,43,56,48
68,77,98,83,42,93,70,100,49
41,64,100,50,70,82,54,86,49
98,0,0,0,0,0,0,100,50
100,0,0,0,0,0,75,0,50
89,29,33,100,57,47,49,33,0
93,67,82,49,100,84,89,70,0
100,0,86,82,81,81,87,0,1
43,42,35,0,0,100,0,0,1
53,99,100,43,48,74,70,53,2
61,61,100,69,50,63,59,38,2
94,46,32,49,64,100,70,48,3
100,0,89,71,54,37,38,53,3
98,86,75,100,66,81,99,85,4
79,71,64,71,90,100,95,94,4
90,67,62,78,72,100,73,35,5
72,86,89,82,26,59,83,100,5
62,46,52,21,53,32,68,100,6
0,60,82,83,100,57,77,90,6
100,51,92,0,74,0,42,53,7
65,0,44,44,45,87,48,100,7
57,35,56,30,37,27,24,100,8
100,46,72,40,40,20,62,82,8
74,72,62,86,58,61,61,100,9
85,100,70,84,49,82,58,68,9
63,76,35,58,53,49,44,100,10
100,78,53,79,60,58,51,86,10
45,100,70,82,33,41,41,54,11
16,51,48,54,38,39,76,100,11
40,38,58,29,58,100,61,58,12
100,48,71,0,55,38,0,93,12
74,100,72,75,86,99,77,79,13
86,100,76,97,66,63,73,82,13
58,23,33,11,41,53,25,100,14
77,47,69,69,80,100,47,39,14
46,100,47,33,16,17,44,57,15
37,35,43,0,25,17,28,100,15
91,100,70,17,61,53,63,56,16
22,100,69,51,0,89,55,35,16
91,30,100,89,38,53,83,31,17
0,30,44,100,38,51,33,23,17
54,31,49,40,32,73,73,100,18
100,42,46,68,21,57,51,62,18
42,39,32,29,31,31,100,81,19
0,57,71,47,49,100,0,0,19
59,100,45,51,84,20,28,83,20
87,40,69,100,77,53,83,65,20
100,58,46,54,77,50,48,81,21
100,49,58,73,59,92,95,92,21
100,47,48,38,68,66,44,26,22
69,91,48,81,93,39,99,100,22
76,75,85,75,68,63,45,100,23
100,67,37,67,36,68,72,88,23
71,93,0,88,35,73,93,100,24
100,0,69,89,71,71,0,74,24
37,63,60,40,47,75,49,100,25
65,40,54,66,36,30,58,100,25
66,62,0,96,0,100,51,0,26
0,0,65,0,0,100,0,0,26
41,41,47,0,63,31,100,43,27
70,45,34,100,52,35,36,48,27
56,45,100,40,49,39,70,46,28
100,17,29,28,19,44,20,34,28
40,37,64,62,0,65,100,42,29
66,78,32,33,0,100,0,0,29
74,67,64,80,92,93,91,100,30
57,100,71,44,25,28,64,65,30
100,96,73,36,36,36,38,74,31
66,64,24,24,36,49,25,100,31
86,100,80,86,73,92,95,87,32
83,93,94,75,93,84,57,100,32
87,99,66,89,96,83,61,100,33
82,72,70,100,46,64,75,67,33
0,0,97,100,49,0,49,0,34
100,0,0,72,0,0,0,0,34
100,98,65,72,81,67,87,93,35
36,61,100,47,52,70,59,79,35
58,60,52,33,100,25,50,63,36
88,73,42,21,100,43,58,58,36
57,51,65,79,43,43,44,100,37
49,49,86,78,24,85,69,100,37
100,59,78,54,30,58,53,68,38
100,97,82,92,81,88,76,82,38
49,46,0,37,37,0,40,100,39
0,0,70,68,0,0,77,100,39
100,39,32,32,48,58,59,62,40
100,39,54,53,47,56,42,41,40
51,0,31,67,33,33,0,100,41
0,0,49,48,48,100,0,74,41
74,81,34,79,48,63,100,61,42
25,64,62,100,36,36,30,38,42
100,74,66,70,54,70,85,97,43
76,100,62,62,72,86,79,62,43
29,57,10,21,21,32,33,100,44
80,75,72,100,73,30,46,75,44
95,88,0,66,0,0,0,100,45
100,89,0,0,73,71,73,0,45
88,85,77,90,97,75,62,100,46
100,88,92,85,94,77,77,91,46
46,100,65,73,93,65,71,91,47
74,74,91,55,78,100,58,86,47
100,0,79,39,41,41,64,54,48
54,0,76,100,0,42,43,56,48
68,77,98,83,42,93,70,100,49
41,64,100,50,70,82,54,86,49
63,0,0,0,0,100,53,68,50
100,0,0,0,0,0,75,0,50
